Leak_1,Date,Flowrate_1,Netflow_1,Pressure_1,ID_1,Leak_2,Flowrate_2,Netflow_2,Pressure_2,ID_2,Leak_5,Flowrate_5,Netflow_5,Pressure_5,ID_5,Leak_6,Flowrate_6,Netflow_6,Pressure_6,ID_6,Leak,Flowrate,Netflow,Pressure,ID,LeakStatus
13,2017-10-01 06:00:00,243.05,7147742.0,1.2,1,13,41.81,1556572.0,0.0,2,13,6.44,5259278.0,0.0,3,13,29.14,1281541.0,1.16,4,13,34.62,640287.5,1.92,5,0
13,2017-10-01 06:15:00,241.16,7147803.0,1.16,1,13,41.77,1556582.0,0.0,2,13,67.33,5259295.0,0.0,3,13,30.75,1281549.0,1.16,4,13,35.68,640296.4,1.88,5,0
13,2017-10-01 06:30:00,243.57,7147864.0,1.16,1,13,43.99,1556593.0,0.0,2,13,64.36,5259311.0,0.0,3,13,30.32,1281556.0,1.12,4,13,35.71,640305.4,1.92,5,0
13,2017-10-01 06:45:00,248.35,7147926.0,1.2,1,13,45.42,1556605.0,0.0,2,13,67.38,5259328.0,0.0,3,13,31.46,1281564.0,1.2,4,13,36.56,640314.6,1.88,5,0
13,2017-10-01 07:00:00,256.72,7147990.0,1.32,1,13,55.66,1556619.0,0.0,2,13,73.28,5259346.0,0.0,3,13,31.63,1281572.0,1.16,4,13,37.83,640324.1,2.16,5,0
13,2017-10-01 07:15:00,275.15,7148059.0,1.48,1,13,60.55,1556634.0,0.0,2,13,71.49,5259364.0,0.0,3,13,31.9,1281580.0,1.32,4,13,40.0,640334.1,2.08,5,0
13,2017-10-01 07:30:00,278.23,7148129.0,1.72,1,13,68.64,1556651.0,0.0,2,13,74.34,5259383.0,0.0,3,13,37.18,1281590.0,1.32,4,13,40.39,640344.2,2.44,5,0
13,2017-10-01 07:45:00,284.73,7148200.0,1.88,1,13,75.25,1556670.0,0.0,2,13,77.57,5259402.0,0.0,3,13,38.28,1281599.0,1.44,4,13,43.09,640355.0,2.6,5,0
13,2017-10-01 08:00:00,292.46,7148274.0,2.04,1,13,76.45,1556689.0,0.0,2,13,78.44,5259422.0,0.0,3,13,40.34,1281609.0,1.6,4,13,44.91,640366.3,2.6,5,0
13,2017-10-01 08:15:00,298.5,7148348.0,1.76,1,13,78.67,1556709.0,0.0,2,13,84.7,5259443.0,0.0,3,13,44.15,1281620.0,1.6,4,13,45.11,640377.5,2.64,5,0
13,2017-10-01 08:30:00,297.88,7148423.0,1.48,1,13,80.01,1556729.0,0.0,2,13,267.91,5259439.0,0.0,3,13,44.98,1281632.0,1.6,4,13,45.35,640388.9,2.6,5,0
13,2017-10-01 08:45:00,303.63,7148499.0,1.36,1,13,81.39,1556749.0,0.0,2,13,413.38,5259543.0,0.0,3,13,45.27,1281643.0,1.6,4,13,47.44,640400.8,2.64,5,0
13,2017-10-01 09:00:00,306.6,7148576.0,1.56,1,13,81.16,1556769.0,0.0,2,13,417.3,5259647.0,0.0,3,13,45.18,1281654.0,1.6,4,13,48.23,640412.9,2.52,5,0
13,2017-10-01 09:15:00,311.67,7148654.0,1.44,1,13,82.76,1556790.0,0.0,2,13,420.17,5259752.0,0.0,3,13,45.93,1281666.0,1.6,4,13,44.89,640424.1,2.68,5,0
13,2017-10-01 09:30:00,311.68,7148732.0,1.56,1,13,88.38,1556812.0,0.0,2,13,415.71,5259857.0,0.0,3,13,46.27,1281677.0,1.6,4,13,45.73,640435.6,2.76,5,0
13,2017-10-01 09:45:00,313.78,7148811.0,2.16,1,13,85.1,1556834.0,0.0,2,13,460.45,5259972.0,0.0,3,13,48.44,1281689.0,1.6,4,13,46.46,640447.2,2.92,5,0
